Taxonomic information of Operational Taxonomic Units (OTUs) from 16S rRNA gene V4 region Illumina sequencing,,,,,,,,
POTU_ID,OTU_ID_orig,Domain,Phylum,Class,Order,Family,Genus,Species
POTU71,60ad7d3924d179535d20ee27837319ac,d__Bacteria,,,,,,
POTU72,746ec9d5608ebefd40822cbb606fcd54,d__Bacteria,,,,,,
POTU73,174c94d064724292f8e4057e4ebbd0ee,d__Bacteria,,,,,,
POTU74,fcbb7ed864dd8a80f920c48446b4d70c,d__Bacteria,,,,,,
POTU75,6e340ddc83e31597f3b365b715cd7a4f,d__Bacteria,,,,,,
POTU76,5082a92358e2187ed9d28133088ee467,d__Bacteria,,,,,,
POTU77,5802d6ff2405afb5db81b01c7f2ce810,d__Bacteria,p__Desulfobacterota,c__Desulfobacteria,o__Desulfobacterales,f__Desulfobacteraceae,,
POTU78,ddb4dc616777069c7193e048b0e14366,d__Bacteria,,,,,,
POTU79,21587ef56301afa34bdef2aba40555a4,d__Archaea,,,,,,
POTU80,842a7ab531590293cd9f5dbc35084767,d__Archaea,,,,,,
POTU81,2233dda22ba8ac352a410c22bd8591f4,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__SCGC_AAA286-E23,g__SCGC_AAA286-E23,
POTU82,225877e9c80f27cb43ea424ccf9e14f1,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__SCGC_AAA286-E23,g__SCGC_AAA286-E23,
POTU83,265fba0f71140aa03d8e63e1e8f8ad9a,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__SCGC_AAA286-E23,g__SCGC_AAA286-E23,
POTU84,b52cb07655a3b0ff901a6967b368f423,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__SCGC_AAA286-E23,g__SCGC_AAA286-E23,s__Euryarchaeota_archaeon
POTU85,61611d61360fefe6b2cf2331da197ede,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__SCGC_AAA286-E23,g__SCGC_AAA286-E23,s__uncultured_archaeon
POTU86,5f147db00996e40604c019aaaac14a8c,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__SCGC_AAA286-E23,g__SCGC_AAA286-E23,s__metagenome
POTU87,495601367381e4e456be5eb5cd9839cd,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,,,
POTU88,8eabf04718c4f52e02360f6a888ed885,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,,,
POTU89,8ee6b30ffde23e6fb87af3d6800beb53,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__SCGC_AAA286-E23,g__SCGC_AAA286-E23,s__metagenome
POTU90,80d9f6eeb014b1ae1cfede47f25cfcd5,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__SCGC_AAA286-E23,g__SCGC_AAA286-E23,s__metagenome
POTU91,b3fc846f8a01ec58ec8ff6dd228eee3b,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,,,
POTU92,dc4284cb54f3fcee98aa608b3ddd2f85,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__SCGC_AAA286-E23,g__SCGC_AAA286-E23,
POTU93,6453e68589bcf90622a3a32d5206952f,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__SCGC_AAA286-E23,g__SCGC_AAA286-E23,
POTU94,4e5d9e9ca8313190468fe497596c8ba4,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,,,
POTU95,aa7ff90316cd34187a291abebbeac8bb,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__SCGC_AAA286-E23,g__SCGC_AAA286-E23,s__uncultured_archaeon
POTU96,7bdb9ec9d67587ecd2a96ef3d7ca8f32,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__SCGC_AAA286-E23,g__SCGC_AAA286-E23,s__uncultured_archaeon
